岗位名称,公司名称,公司类型,薪资范围,技能要求,数据来源,详情页URL
实习英语教师,新通外语,未知,200-400/天,"可转正实习, 暑期实习, 寒假实习, 留学生实习",实习僧,https://www.shixiseng.com/intern/inn_8j34qpxdgxzt?pcm=pc_SearchList
教育实习,成长时光,未知,200-400/天,"可转正实习, 接受大一大二, 零基础实习, 提供住宿, 免费培训, 教育",实习僧,https://www.shixiseng.com/intern/inn_lccku24aycs9?pcm=pc_SearchList
实习营业员,中百罗森,未知,180-200/天,"可转正, 可转正实习, 暑期实习, 寒假实习, 接受大一大二, 零基础实习",实习僧,https://www.shixiseng.com/intern/inn_sg8plp3cqeu7?pcm=pc_SearchList
酒店实习岗,华发现代服务,未知,100-120/天,"可转正实习, 零基础实习",实习僧,https://www.shixiseng.com/intern/inn_rxmzcuproh5u?pcm=pc_SearchList
咨询师（实习）,最洞察,未知,120-150/天,"可转正实习, 零基础实习, 实习证明",实习僧,https://www.shixiseng.com/intern/inn_powoly7xtbxp?pcm=pc_SearchList
咨询实习,亿欧,未知,200-250/天,"可转正实习, 生日福利, 定期团建, 不加班, 实习证明",实习僧,https://www.shixiseng.com/intern/inn_79liw2rwlepf?pcm=pc_SearchList
产品实习,学校大脑,未知,150-200/天,"可转正实习, 接受大一大二",实习僧,https://www.shixiseng.com/intern/inn_ytzggzcgmzw1?pcm=pc_SearchList
实习英语老师,爱榕教育,未知,120-180/天,可转正实习,实习僧,https://www.shixiseng.com/intern/inn_quuh864rl9ja?pcm=pc_SearchList
实习教师,之了留学,未知,200-400/天,"远程实习, 留学生实习, 接受大一大二",实习僧,https://www.shixiseng.com/intern/inn_yuprcxwagdl8?pcm=pc_SearchList
实习助理,东营译协,未知,50-80/天,零基础实习,实习僧,https://www.shixiseng.com/intern/inn_f2kyhwuy4fk5?pcm=pc_SearchList
实习教务管理,之了留学,未知,200-400/天,"不打卡, 周末双休, 可转正实习",实习僧,https://www.shixiseng.com/intern/inn_2kuqsj34lwao?pcm=pc_SearchList
实习数学教师,之了留学,未知,200-400/天,"远程实习, 接受大一大二, 留学生实习",实习僧,https://www.shixiseng.com/intern/inn_5rbxjxqp9yjx?pcm=pc_SearchList
实习编导,当时互动,未知,100-180/天,"可转正, 定期团建, 全勤奖, 下午茶, 周末双休, 实习证明",实习僧,https://www.shixiseng.com/intern/inn_cgruwpq9qxkb?pcm=pc_SearchList
投资实习岗,方广资本,未知,150-300/天,"节日福利, 暑期实习",实习僧,https://www.shixiseng.com/intern/inn_3xgqkbns8lya?pcm=pc_SearchList
研发实习,赛凯生物,未知,120-180/天,"一对一导师, 节日福利, 地铁周边",实习僧,https://www.shixiseng.com/intern/inn_laqjbeufc6mv?pcm=pc_SearchList
财务实习,车控（北京）科技有限公司,未知,100-150/天,"实习津贴, 地铁周边, 不加班",实习僧,https://www.shixiseng.com/intern/inn_6gnkohup9wam?pcm=pc_SearchList
实习工程师,江森日立,未知,120-180/天,"工业工程师, 零基础实习",实习僧,https://www.shixiseng.com/intern/inn_lidypder4w7u?pcm=pc_SearchList
实习业务员,财速诚,未知,100-200/天,"可转正实习, 零基础实习, 弹性工作",实习僧,https://www.shixiseng.com/intern/inn_bzamu6f7gq4x?pcm=pc_SearchList
实习文员,必维青岛,未知,120-180/天,"可转正实习, 朝九晚五, 生日会, 餐补, 房补, 实习证明, 周末双休",实习僧,https://www.shixiseng.com/intern/inn_ca5nmfjsgs5m?pcm=pc_SearchList
小红书实习,罗仕拿,未知,薪资面议,"实习, 实习证明, 大学生, 接受大一大二, 暑期实习, 远程实习, 可转正实习",实习僧,https://www.shixiseng.com/intern/inn_vkaafjs27y9t?pcm=pc_SearchList
前台实习,鼎泰,未知,100-150/天,"可转正实习, 暑期实习, 寒假实习, 接受大一大二, 零基础实习, 生日福利, 下午茶, 节日福利, 弹性工作, 提供住宿",实习僧,https://www.shixiseng.com/intern/inn_4sf1sumpmruw?pcm=pc_SearchList
招聘实习,MUJI,未知,150/天,周末双休,实习僧,https://www.shixiseng.com/intern/inn_03pbjlmcuib8?pcm=pc_SearchList
财务实习岗,弘则研究,未知,80-120/天,金融行业,实习僧,https://www.shixiseng.com/intern/inn_rtfhhniox4ke?pcm=pc_SearchList
实习分析师,义柏资本,未知,150-200/天,"定期团建, 远程实习, 暑期实习, 留学生实习",实习僧,https://www.shixiseng.com/intern/inn_truxaqjkvf18?pcm=pc_SearchList
实习编辑,网易,未知,100-120/天,"免费三餐, 免费健身房, 周末双休, 节日福利, 寒假实习",实习僧,https://www.shixiseng.com/intern/inn_h0rvslajbphw?pcm=pc_SearchList
财务实习,壳牌石油,未知,150/天,"不加班, 不打卡, 周末双休, 地铁周边, 接受大一大二",实习僧,https://www.shixiseng.com/intern/inn_ozkqe636nimz?pcm=pc_SearchList
实习会计,鼎蜀集团,未知,50-80/天,"可转正实习, 零基础实习, 周末双休, 带薪年假",实习僧,https://www.shixiseng.com/intern/inn_wxafzzsnxyac?pcm=pc_SearchList
实习分析师,白泽资本,未知,100-150/天,"接受大一大二, 可转正实习, 留学生实习",实习僧,https://www.shixiseng.com/intern/inn_j8pvxgplg7fi?pcm=pc_SearchList
实习编辑,凤凰网,未知,100-120/天,有网感,实习僧,https://www.shixiseng.com/intern/inn_sswkialljfdj?pcm=pc_SearchList
实习分析师,中地信基金,未知,100-150/天,"留学生实习, 项目尽调, 投资分析, 快速成长",实习僧,https://www.shixiseng.com/intern/inn_aacmqtpp1srw?pcm=pc_SearchList
实习设计师,耕读兴农,未知,100-150/天,可转正实习,实习僧,https://www.shixiseng.com/intern/inn_phfbzffelb4n?pcm=pc_SearchList
实习设计师,天奕设计,未知,80-150/天,"节日福利, 可转正实习, 零基础实习",实习僧,https://www.shixiseng.com/intern/inn_ecl4korcpjfr?pcm=pc_SearchList
人事实习,上海尔展商贸有限公司,未知,180/天,"周末双休, 实习津贴",实习僧,https://www.shixiseng.com/intern/inn_kskjmqe16ga2?pcm=pc_SearchList
行业研究员（实习）,甄投资产,未知,100-200/天,"接受大一大二, 寒假实习, 暑期实习, 留学生实习, 可转正实习",实习僧,https://www.shixiseng.com/intern/inn_ab0za6zkklvj?pcm=pc_SearchList
实习交易员,惊石资产,未知,100-200/天,"可转正实习, 年度旅游, 地铁周边, 年终奖, 不加班, 法定节假不补班",实习僧,https://www.shixiseng.com/intern/inn_s0ak1byh0skh?pcm=pc_SearchList
实习分析师,德图资本,未知,100/天,暑期实习,实习僧,https://www.shixiseng.com/intern/inn_fwoz7lfs9rkk?pcm=pc_SearchList
销售助理-实习岗,中软国际,未知,200-250/天,可转正实习,实习僧,https://www.shixiseng.com/intern/inn_czzafs8nrg1f?pcm=pc_SearchList
财务实习岗,悉源地,未知,150-180/天,一对一导师,实习僧,https://www.shixiseng.com/intern/inn_eid7pacb5ebn?pcm=pc_SearchList
实习设计师,道然科技,未知,100-150/天,"好书很多, 周末双休",实习僧,https://www.shixiseng.com/intern/inn_hvl9ae0ztdvg?pcm=pc_SearchList
实习分析师,展银投资,未知,120-150/天,"可转正实习, 实习证明",实习僧,https://www.shixiseng.com/intern/inn_xabg7gqvijrc?pcm=pc_SearchList
招聘实习,美ONE,未知,200-250/天,"地铁周边, 周末双休",实习僧,https://www.shixiseng.com/intern/inn_lte5i3vvwzmr?pcm=pc_SearchList
销售助理实习,中国教育在线,未知,80-120/天,周末双休,实习僧,https://www.shixiseng.com/intern/inn_thtslwtylszj?pcm=pc_SearchList
